#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
job_first_minister;First Minister;;;;;;;;;;;;;
job_chancellor;Chief Envoy;;;;;;;;;;;;;
EVTNAMEBUREAU2;Better economic performance;;;;;;;;;;;;;
EVTOPTABUREAU1;Good;;;;;;;;;;;;;
EVTOPTABUREAU2;Poor;;;;;;;;;;;;;
extremely_poor_governance_results;Extremely Poor Governance Results;;;;;;;;;;;;;
poor_governance_results;Poor Governance Results;;;;;;;;;;;;;
lower_than_average_governance_results;Lower Than Average Governance Results;;;;;;;;;;;;;
average_governance_results;Average Governance Results;;;;;;;;;;;;;
higher_than_average_governance_results;Higher Than Average Governance Results;;;;;;;;;;;;;
good_governance_results;Good Governance Results;;;;;;;;;;;;;
extremely_good_governance_results;Extremely Good Governance Results;;;;;;;;;;;;;
EVTNAMEBUREAU0;Merchant asking for favours;;;;;;;;;;;;;
EVTDESCBUREAU0;A local merchant comes hoping to receive some favors from local authorities. He is willing to obtain status of an exclusive supplier for his enterprise. There some other competitors for that concession but the man is adamant in that his goods are above competition. The merchant also mentions that a when a wise man as himself is getting richer, he never lets his benefactors stay poor.;;;;;;;;;;;;;
EVTOPTABUREAU0;A wise man may will always will be appreciated in my office.;;;;;;;;;;;;;
EVTOPTBBUREAU0;I will have none of it! if you are above competition - prove it as law dictates.;;;;;;;;;;;;;
EVTOPTCBUREAU0;Yes, we would love to have your goods… confiscated.;;;;;;;;;;;;;
EVTOPTDBUREAU0;You came to the right person but I need to be persuaded more.;;;;;;;;;;;;;
opinion_presecutes_merchants;Presecutes Merchants;;;;;;;;;;;;;
EVTNAMEEXAM2;Examination day;;;;;;;;;;;;;
EVTDESCEXAM2;You are locked in a small room. You sit at a desk that has nothing but paper, ink, and a brush on it. Parts of quotations from the works of the Scholast are written on paper. You are expected to complete the quotations and explain what you need to do to follow those words of the Scholast in your service.;;;;;;;;;;;;;
EVTOPTAEXAM2;Where did I see this one? I'm sure I saw this part somwhere.;;;;;;;;;;;;;
EVTOPTBEXAM2;One needs to simply find the right words for the explanation part.;;;;;;;;;;;;;
EVTOPTCEXAM2;But those two are crucial! Pity that the Scholast is so harsh to merchants.;;;;;;;;;;;;;
EVTOPTDEXAM2;Those are easy. I should add some excellent scholia by other revered Masters.;;;;;;;;;;;;;
EVTNAMEEXAM4;Examination passed;;;;;;;;;;;;;
EVTDESCEXAM4;The large hall is crowded with recent examinees anxiously waiting to hear the result. Finally the crowd bursts into shouts, laughter, and sobs. You hear your results and now you can say that this is what you knew you will hear from the day of the exam. You passed.;;;;;;;;;;;;;
EVTOPTAEXAM4;The reward is sweet when you know how hard you worked to get it.;;;;;;;;;;;;;
EVTNAMEEXAM5;Examination failed;;;;;;;;;;;;;
EVTDESCEXAM5;The large hall is crowded with recent examinees anxiously waiting to hear the result. Finally the crowd bursts into shouts, laughter, and sobs. You hear your results and now you can say that this is what you knew you will hear from the day of the exam. You did not pass.;;;;;;;;;;;;;
EVTOPTAEXAM5;Maybe I should look into military carreer.;;;;;;;;;;;;;
participate_in_the_next_county_examination;Participate in the next county examination;;;;;;;;;;;;;
